,price,type,address,url,postcode,number_bedrooms,search_date
72,2167,2 bedroom flat,"King Edwards Road, London Fields, E9",http://www.rightmove.co.uk/property-to-rent/property-56216254.html,E9,2,07/10/2016
73,1842,2 bedroom flat,"Richmond Road, London, E8",http://www.rightmove.co.uk/property-to-rent/property-40759839.html,E8,2,07/10/2016
74,1712,1 bedroom flat,"Richmond Road, London",http://www.rightmove.co.uk/property-to-rent/property-56122924.html,,1,07/10/2016
75,1907,1 bedroom flat,"Richmond Road, London Fields, E8",http://www.rightmove.co.uk/property-to-rent/property-56193466.html,E8,1,07/10/2016
76,1668,1 bedroom flat,"Hackney Road, Bethnal Green",http://www.rightmove.co.uk/property-to-rent/property-56187070.html,,1,07/10/2016
77,2210,2 bedroom apartment,"6 Lansdowne Road, Hackney",http://www.rightmove.co.uk/property-to-rent/property-61894769.html,,2,07/10/2016
78,1473,1 bedroom apartment,Massie Road E8 1BY,http://www.rightmove.co.uk/property-to-rent/property-52112443.html,E8,1,07/10/2016
79,2687,2 bedroom apartment,"Mettle and Poise, Goldsmiths Row, London, E2",http://www.rightmove.co.uk/property-to-rent/property-56173585.html,E2,2,07/10/2016
80,1517,1 bedroom apartment,"Noble House, Hackney Central, E8",http://www.rightmove.co.uk/property-to-rent/property-56168308.html,E8,1,07/10/2016
81,1668,1 bedroom apartment,Hackney Road Hackney E2,http://www.rightmove.co.uk/property-to-rent/property-56166913.html,E2,1,07/10/2016
82,1733,2 bedroom flat,"Albery Court, London Fields, E8",http://www.rightmove.co.uk/property-to-rent/property-44029641.html,E8,2,07/10/2016
83,1990,2 bedroom maisonette,"Elmbridge Walk, Blackstone Estate, London, E8 3HA",http://www.rightmove.co.uk/property-to-rent/property-56165173.html,E8,2,07/10/2016
84,1625,1 bedroom apartment,Kay Street Hackney E2,http://www.rightmove.co.uk/property-to-rent/property-56164168.html,E2,1,07/10/2016
85,1603,1 bedroom apartment,Kay Street Hackney E2,http://www.rightmove.co.uk/property-to-rent/property-56163967.html,E2,1,07/10/2016
86,1668,1 bedroom apartment,"Hackney Road, Bethnal Green, E2",http://www.rightmove.co.uk/property-to-rent/property-56163289.html,E2,1,07/10/2016
87,2495,3 bedroom apartment,"Tudor Grove, Bethnal Green, London, E9",http://www.rightmove.co.uk/property-to-rent/property-44428233.html,E9,3,07/10/2016
88,1777,2 bedroom flat,"Middleton Road, London, E8",http://www.rightmove.co.uk/property-to-rent/property-44427864.html,E8,2,07/10/2016
89,1517,1 bedroom flat,"Graham Road, London, E8 ",http://www.rightmove.co.uk/property-to-rent/property-44427690.html,E8,1,07/10/2016
90,3012,3 bedroom terraced house,"Wilton Way, Hackney, E8",http://www.rightmove.co.uk/property-to-rent/property-44427387.html,E8,3,07/10/2016
91,1668,1 bedroom flat,"Hackney Road, Bethnal Green, E2",http://www.rightmove.co.uk/property-to-rent/property-62015654.html,E2,1,07/10/2016
92,1668,1 bedroom apartment,"Hackney Road,London,E2",http://www.rightmove.co.uk/property-to-rent/property-39378710.html,E2,1,07/10/2016
93,2275,3 bedroom flat,"Classic Mansions, Well Street, London",http://www.rightmove.co.uk/property-to-rent/property-56150788.html,,3,07/10/2016
94,1473,1 bedroom flat,"Pendley House, Whiston Road, Hackney",http://www.rightmove.co.uk/property-to-rent/property-56149855.html,,1,07/10/2016
95,1625,1 bedroom flat,"Elizabeth Mews Kay Street,  Bethnal Green, E2",http://www.rightmove.co.uk/property-to-rent/property-44381775.html,E2,1,07/10/2016
96,1430,1 bedroom flat,"Queensbridge Road, London, E8",http://www.rightmove.co.uk/property-to-rent/property-61971236.html,E8,1,07/10/2016
97,1950,3 bedroom flat,"Greenwood Road, London",http://www.rightmove.co.uk/property-to-rent/property-56124691.html,,3,07/10/2016
98,1668,1 bedroom flat,"Greater London, Hackney Road, E2",http://www.rightmove.co.uk/property-to-rent/property-44376069.html,E2,1,07/10/2016
99,1300,1 bedroom flat,"Cambridge Heath Road, Bethnal Green, London, E2 9BU",http://www.rightmove.co.uk/property-to-rent/property-44375985.html,E2,1,07/10/2016
100,1668,1 bedroom property,"Shoreditch, Hackney Road, E2",http://www.rightmove.co.uk/property-to-rent/property-44374527.html,E2,1,07/10/2016
101,1279,1 bedroom flat,"Sylvester Road, Hackney, E8",http://www.rightmove.co.uk/property-to-rent/property-54917596.html,E8,1,07/10/2016
102,2167,2 bedroom apartment,"King Edwards Road, Hackney, E9",http://www.rightmove.co.uk/property-to-rent/property-61948982.html,E9,2,07/10/2016
103,2383,2 bedroom flat,GROVE HOUSE-TUDOR ROAD,http://www.rightmove.co.uk/property-to-rent/property-61971599.html,,2,07/10/2016
104,2383,2 bedroom flat,GROVE HOUSE-TUDOR ROAD,http://www.rightmove.co.uk/property-to-rent/property-61941701.html,,2,07/10/2016
105,2058,2 bedroom apartment,"Martello Street, London Fields, Hackney",http://www.rightmove.co.uk/property-to-rent/property-61938848.html,,2,07/10/2016
106,1712,2 bedroom flat,"Wharf Place, Bethnal Green, E2",http://www.rightmove.co.uk/property-to-rent/property-44339892.html,E2,2,07/10/2016
107,2275,2 bedroom apartment,"King Edward's Road, London, E9",http://www.rightmove.co.uk/property-to-rent/property-61900397.html,E9,2,07/10/2016
108,1603,1 bedroom apartment,"Elizabeth Mews, Kay Street, Shoreditch, E2",http://www.rightmove.co.uk/property-to-rent/property-61896962.html,E2,1,07/10/2016
109,1668,1 bedroom apartment,"Hackney Road, Shoreditch E2",http://www.rightmove.co.uk/property-to-rent/property-61896965.html,E2,1,07/10/2016
110,2102,2 bedroom flat,"Martello Street, London Fields, E8",http://www.rightmove.co.uk/property-to-rent/property-56068318.html,E8,2,07/10/2016
111,2102,2 bedroom flat,"Martello House, 18 Martello Street, London Fields",http://www.rightmove.co.uk/property-to-rent/property-55912798.html,,2,07/10/2016
112,1668,1 bedroom flat,"Hackney Road, Hackney, E2",http://www.rightmove.co.uk/property-to-rent/property-56075545.html,E2,1,07/10/2016
113,1733,1 bedroom flat,"Martello Street, Hackney",http://www.rightmove.co.uk/property-to-rent/property-56072353.html,,1,07/10/2016
114,1863,1 bedroom flat,"Broadway Market, London",http://www.rightmove.co.uk/property-to-rent/property-56071771.html,,1,07/10/2016
115,1668,1 bedroom apartment,"Hackney Road, Hoxton , London",http://www.rightmove.co.uk/property-to-rent/property-45469699.html,,1,07/10/2016
116,1863,2 bedroom semi-detached house,"Hackney Grove, London, E8",http://www.rightmove.co.uk/property-to-rent/property-54165158.html,E8,2,07/10/2016
117,1603,1 bedroom apartment,"Kay Street, E2",http://www.rightmove.co.uk/property-to-rent/property-45643561.html,E2,1,07/10/2016
118,1668,1 bedroom ground floor flat,"Hackney Road, Bethnal Green, E2",http://www.rightmove.co.uk/property-to-rent/property-44284059.html,E2,1,07/10/2016
119,1950,1 bedroom flat,"Mare Street, Hackney, E8",http://www.rightmove.co.uk/property-to-rent/property-56068324.html,E8,1,07/10/2016
120,1603,1 bedroom apartment,"Elizabeth Mews, Bethnal Green, E2",http://www.rightmove.co.uk/property-to-rent/property-44283276.html,E2,1,07/10/2016
121,1733,1 bedroom flat,"Horton Road, Hackney",http://www.rightmove.co.uk/property-to-rent/property-44275344.html,,1,07/10/2016
122,2383,3 bedroom flat,"Bethnal Green, Broadway Market E2",http://www.rightmove.co.uk/property-to-rent/property-56233066.html,E2,3,07/10/2016
123,1625,1 bedroom flat,"Hackney Road, London",http://www.rightmove.co.uk/property-to-rent/property-56042290.html,,1,07/10/2016
124,1300,1 bedroom apartment,"Wyndhams Court, 32 Celandine Drive, London, E8",http://www.rightmove.co.uk/property-to-rent/property-55343161.html,E8,1,07/10/2016
125,3159,Detached house,"Navarino Road, London",http://www.rightmove.co.uk/property-to-rent/property-61646870.html,,,07/10/2016
126,1733,2 bedroom flat,Hackney Road E2,http://www.rightmove.co.uk/property-to-rent/property-37910863.html,E2,2,07/10/2016
127,1712,1 bedroom flat,51 Tudor Road (8),http://www.rightmove.co.uk/property-to-rent/property-61800692.html,,1,07/10/2016
128,1450,1 bedroom duplex,"Marlborough Avenue, London, E8",http://www.rightmove.co.uk/property-to-rent/property-61794290.html,E8,1,07/10/2016
129,1668,1 bedroom flat,"Hackney Road, Hackney, E2",http://www.rightmove.co.uk/property-to-rent/property-61790486.html,E2,1,07/10/2016
130,1668,1 bedroom flat," Hackney Road,  Shoreditch, E2",http://www.rightmove.co.uk/property-to-rent/property-44226183.html,E2,1,07/10/2016
131,1603,1 bedroom flat,"Elizabeth Mews Kay Street,  Bethnal Green, E2",http://www.rightmove.co.uk/property-to-rent/property-44224689.html,E2,1,07/10/2016
132,1603,1 bedroom flat,"Elizabeth Mews, Bethnal Green E2",http://www.rightmove.co.uk/property-to-rent/property-61250780.html,E2,1,07/10/2016
133,2383,3 bedroom flat,"Pownall Road, London",http://www.rightmove.co.uk/property-to-rent/property-56161789.html,,3,07/10/2016
134,1603,1 bedroom flat,"Elizabeth Mews, Bethnal Green, London",http://www.rightmove.co.uk/property-to-rent/property-61779890.html,,1,07/10/2016
135,1668,1 bedroom flat,"Hackney Road, London, E2",http://www.rightmove.co.uk/property-to-rent/property-44218359.html,E2,1,07/10/2016
136,1668,1 bedroom apartment,"Hackney Road, London, E2",http://www.rightmove.co.uk/property-to-rent/property-44218080.html,E2,1,07/10/2016
