price,type,address,url,postcode,number_bedrooms,search_date
2285000.0,3 bedroom apartment for sale,"Salisbury House, 3 Drummond Gate, Pimlico, London, SW1V",/property-for-sale/property-39404397.html,SW1V,3,11/10/2016
2275000.0,4 bedroom semi-detached house for sale,"Gatcombe Road, Tufnell Park, London",/property-for-sale/property-55747711.html,,4,11/10/2016
2275000.0,3 bedroom apartment for sale,"Kidderpore Green, Kidderpore Avenue, Hampstead, London, NW3",/new-homes-for-sale/property-56479261.html,NW3,3,11/10/2016
2250000.0,2 bedroom flat for sale,"Montrose Court, Princes Gate, London, SW7",/property-for-sale/property-56484331.html,SW7,2,11/10/2016
2250000.0,2 bedroom apartment for sale,"Great Cumberland Place, London, W1H",/property-for-sale/property-59608169.html,W1H,2,11/10/2016
2250000.0,5 bedroom semi-detached house for sale,"Keyes Road, Mapesbury Conservation, NW2",/property-for-sale/property-56459509.html,NW2,5,11/10/2016
2250000.0,2 bedroom apartment for sale,"Great Cumberland Place, London, W1H",/property-for-sale/property-43998189.html,W1H,2,11/10/2016
2250000.0,4 bedroom terraced house for sale,"Westbridge Road, London, SW11",/property-for-sale/property-44794503.html,SW11,4,11/10/2016
2200000.0,3 bedroom terraced house for sale,"Kemplay Road, Hampstead Village, NW3",/property-for-sale/property-44811330.html,NW3,3,11/10/2016
2199995.0,4 bedroom detached house for sale,"Creighton Avenue, Muswell Hill, London",/property-for-sale/property-56454055.html,,4,11/10/2016
2199950.0,3 bedroom penthouse for sale,"London Dock
Pennington Street,
London,
E1W 2AD",/new-homes-for-sale/property-62459174.html,E1W,3,11/10/2016
2195000.0,5 bedroom house for sale,"Kings Road, Wimbledon",/property-for-sale/property-55192963.html,,5,11/10/2016
2175000.0,5 bedroom terraced house for sale,"Hurlingham Road, Fulham, London, SW6",/property-for-sale/property-42411567.html,SW6,5,11/10/2016
2150000.0,2 bedroom apartment for sale,"Earl's Court Square, London, SW5",/property-for-sale/property-62463215.html,SW5,2,11/10/2016
2120000.0,3 bedroom apartment for sale,"Kidderpore Green, Kidderpore Avenue, Hampstead, London, NW3",/new-homes-for-sale/property-62031101.html,NW3,3,11/10/2016
2100000.0,2 bedroom flat for sale,"Cheltenham Terrace, Chelsea, SW3",/property-for-sale/property-53968906.html,SW3,2,11/10/2016
2100000.0,3 bedroom apartment for sale,"1 Greenberry Street, London, London, NW8 7AG",/property-for-sale/property-56462539.html,NW8,3,11/10/2016
